Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-02-09,JBU,1515,JFK,SFO,5,17,1,B7,false,,2024-02-09T15:50,2024-02-09T16:38,,,,,2024-02-09T19:31,2024-02-09T20:19,Airbus A321,,,,,,,,986692b5-2c04-4e62-8a32-16ae9a1281bc,765155ec-70b3-4183-9cd3-10d1f5127405,fc332185-4dde-4791-b449-0de5e83e47b9,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-02-12,AAL,2046,SJC,DFW,A,9,B,B5,false,,2024-02-12T12:07,2024-02-12T12:10,,,,,2024-02-12T17:34,2024-02-12T17:28,Boeing 737-800,,,,,,,,9c554863-cffb-4bf7-a55f-ad6c201c35ba,ae1fc6a5-c42d-4e70-ba63-d641d248d270,cdf0ec10-09ce-4bec-a0d0-f3e7511baae7,1573100e-e4a3-47b0-9399-01b36074e1f5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-02-12,AAL,1726,DFW,LGA,C,C19,B,24,false,,2024-02-12T19:03,2024-02-12T21:13,,,,,2024-02-12T23:24,2024-02-13T01:16,Boeing 737 MAX 8,,,,,,,,7ab6db01-66ce-471c-bef7-20dc1581ecec,ae1fc6a5-c42d-4e70-ba63-d641d248d270,1573100e-e4a3-47b0-9399-01b36074e1f5,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2024-04-11,DAL,2121,LGA,MSP,C,84,1,C2,false,,2024-04-11T15:00,2024-04-11T14:58,,,,,2024-04-11T17:08,2024-04-11T16:54,Airbus A320,,,,,,,,9dab42db-f150-4633-b9e4-0e031111eb2b,a8765091-d043-44b1-936c-d217bb519e56,dfeb8457-3376-49f8-b542-dbeb2ec9f719,e6471588-a4ac-43ed-85de-adb08f1c3410,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-04-13,DAL,1610,MSP,LGA,1,F8,C,88A,false,,2024-04-13T19:59,2024-04-13T19:53,,,,,2024-04-13T23:36,2024-04-13T23:19,Boeing 737-900ER,,,,,,,,deb502b8-7bd2-48a3-a4e5-54e3cea4c24c,a8765091-d043-44b1-936c-d217bb519e56,e6471588-a4ac-43ed-85de-adb08f1c3410,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,24012541-435d-4a27-af8a-4791336f1965
2024-04-27,FFT,2829,LGA,RDU,B,42,2,D11,false,,2024-04-27T16:00,2024-04-27T17:50,,,,,2024-04-27T17:44,2024-04-27T19:25,Airbus A321neo,,,,,,,,b79d64bc-5e58-40b2-a1f9-1c9e6c2bc762,382ef70a-2039-46de-bdbd-5b8aa0aeb0f7,dfeb8457-3376-49f8-b542-dbeb2ec9f719,7852b092-092d-4c60-a638-d43993aa2899,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-04-30,FFT,2438,RDU,LGA,2,D9,B,42,false,,2024-04-30T21:36,2024-04-30T23:24,,,,,2024-04-30T23:10,2024-05-01T01:09,Airbus A321neo,,,,,,,,d4bc9aed-3947-4728-83e2-3337dd1645cc,382ef70a-2039-46de-bdbd-5b8aa0aeb0f7,7852b092-092d-4c60-a638-d43993aa2899,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-05-11,DAL,268,JFK,HNL,4,B32,2,G1,false,,2024-05-11T09:25,2024-05-11T09:24,,,,,2024-05-11T14:15,2024-05-11T13:50,Boeing 767-300,,,,,,,,66916817-45f2-414c-9f5e-bcd0287e864e,a8765091-d043-44b1-936c-d217bb519e56,fc332185-4dde-4791-b449-0de5e83e47b9,520bf633-9001-4347-9db0-5aa228ee7c30,,3e31e7b6-cfc1-4a82-b88b-bbb8ecad73c3
2024-05-17,DAL,190,HNL,JFK,2,F2,4,B38,false,,2024-05-17T17:15,2024-05-17T17:17,,,,,2024-05-18T09:08,2024-05-18T09:03,Boeing 767-300,,,,,,,,7138e584-8769-4a7d-8405-cd02c5de6c5c,a8765091-d043-44b1-936c-d217bb519e56,520bf633-9001-4347-9db0-5aa228ee7c30,fc332185-4dde-4791-b449-0de5e83e47b9,,3e31e7b6-cfc1-4a82-b88b-bbb8ecad73c3
2024-06-15,JBU,115,JFK,SFO,5,22,1,B15,false,,2024-06-15T09:40,2024-06-15T09:57,,,,,2024-06-15T13:00,2024-06-15T13:57,Airbus A321,,,,,,,,fdfcabe4-37da-4f36-8a5c-c6bf0dbfbaca,765155ec-70b3-4183-9cd3-10d1f5127405,fc332185-4dde-4791-b449-0de5e83e47b9,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-06-27,JBU,616,SFO,JFK,1,B3,5,20,false,,2024-06-27T15:00,2024-06-27T14:58,,,,,2024-06-27T23:42,2024-06-27T23:06,Airbus A321neo,,,,,,,,3096e903-e2ee-4b5a-b5a6-45db27213fe6,765155ec-70b3-4183-9cd3-10d1f5127405,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,fc332185-4dde-4791-b449-0de5e83e47b9,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-06-30,DAL,218,JFK,CPH,4,B36,2,C29,false,,2024-06-30T21:50,2024-07-01T00:01,,,,,2024-07-01T12:00,2024-07-01T13:03,Boeing 767-300,,,,,,,,d43b3c29-2c44-4966-85a5-54e4c8caf87f,a8765091-d043-44b1-936c-d217bb519e56,fc332185-4dde-4791-b449-0de5e83e47b9,09054701-0610-49f1-9bc4-e07200bdf095,,3e31e7b6-cfc1-4a82-b88b-bbb8ecad73c3
2024-07-05,ETH,725,CPH,VIE,2,C35,3,,false,,2024-07-05T19:25,2024-07-05T19:25,,,,,2024-07-05T21:05,2024-07-05T21:04,Boeing 787-9,,,,,,,,8cb99e2e-2c09-4981-b0b7-b85f0ddbfa69,b510dd1e-6789-47c5-9b06-50e46c82b74a,09054701-0610-49f1-9bc4-e07200bdf095,f14d8bd3-c692-4468-a9c2-7c89ab7a4ce4,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-07-06,CHH,790,VIE,SZX,1,D70,,,false,,2024-07-06T11:05,2024-07-06T11:14,,,,,2024-07-07T04:00,2024-07-07T03:42,Boeing 787-9,,,,,,,,d7c35441-a892-42d8-ad7e-1eee3d5e340f,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,f14d8bd3-c692-4468-a9c2-7c89ab7a4ce4,fe67fc1f-8483-4796-891a-81a54515c216,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-08-05,CSZ,9514,PVG,SZX,2,C55,,,false,,2024-08-05T19:00,,,,,,2024-08-05T21:40,,Airbus A320,,,,,,,,c35df0ad-9f79-45b6-9a0b-fc8197532e3c,882ae493-92fd-4736-99aa-2a349ce76c91,94ecd389-4c82-477f-8502-261c27f5b6fa,fe67fc1f-8483-4796-891a-81a54515c216,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-08-16,AAR,722,HKG,ICN,1,8,1,,false,,2024-08-16T13:05,2024-08-16T13:43,,,,,2024-08-16T17:30,,Airbus A321neo,,,,,,,,7a63cb2c-5ca7-4a18-9d49-c77d02752584,3c484b30-2d33-4171-9aa8-5496efac3560,7da61aa8-3d56-411b-8be5-50a198e86c60,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-08-16,HAL,460,ICN,HNL,1,39,2,C3,false,,2024-08-16T21:25,2024-08-16T21:34,,,,,2024-08-16T11:35,2024-08-16T12:23,Airbus A330-200,,,,,,,,af5a3c34-bb7a-40d0-9cf5-3d78873a8252,16ed4f70-8ae6-4430-80fe-370ac447fc96,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,520bf633-9001-4347-9db0-5aa228ee7c30,,b592e11d-fad7-492c-9c29-998f09eed93e
2024-08-16,HAL,50,HNL,JFK,1,A10,4,A4,false,,2024-08-16T15:45,2024-08-16T15:40,,,,,2024-08-17T07:25,2024-08-17T06:48,Airbus A330-200,,,,,,,,5cbee623-297d-499f-8864-63012d587128,16ed4f70-8ae6-4430-80fe-370ac447fc96,520bf633-9001-4347-9db0-5aa228ee7c30,fc332185-4dde-4791-b449-0de5e83e47b9,,b592e11d-fad7-492c-9c29-998f09eed93e
2024-10-12,NKS,1667,LGA,PIT,A,6,Main,B33,false,,2024-10-12T15:28,2024-10-12T15:14,,,,,2024-10-12T17:04,2024-10-12T16:41,Airbus A321,,,,,,,,469b44d0-6815-472e-b7ea-fde66f5bd825,ffe5c844-1817-47ed-ab7c-6b41364be364,dfeb8457-3376-49f8-b542-dbeb2ec9f719,55394d7e-5085-44dc-8919-ae570e6305b3,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-10-16,NKS,3929,PIT,LGA,Main,B33,A,6,false,,2024-10-16T18:04,2024-10-16T17:51,,,,,2024-10-16T19:29,2024-10-16T19:05,Airbus A321,,,,,,,,43e240e9-f837-444c-ac70-e46e8c449c36,ffe5c844-1817-47ed-ab7c-6b41364be364,55394d7e-5085-44dc-8919-ae570e6305b3,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-12-10,UAL,1330,EWR,SEA,C,C85,Main,A12A,false,,2024-12-10T07:59,2024-12-10T07:55,,,,,2024-12-10T11:24,2024-12-10T10:51,Boeing 737 MAX 9,,,,,,,,f1a54b14-1e04-42a0-ab3a-af66a1761df8,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,b3f217fd-4bc7-4806-9efe-abe9446a74df,,8240381a-dce7-4694-a1d8-4769a0c6507a
